Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,6.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-62.865,-90.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.848,-62.865,90.0,top
R3,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-59.055,90.0,top
R4,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.946,-53.213,90.0,top
R5,200k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-49.149,90.0,top
R6,200k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.436,-59.055,90.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-45.339,90.0,top
R8,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-52.959,-90.0,top
R9,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.214,-43.307,90.0,top
R10,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.104,-49.403,90.0,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.104,-45.593,-90.0,top
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.104,-53.213,90.0,top
R13,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.848,-70.739,90.0,top
R14,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.436,-66.675,90.0,top
R15,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.848,-85.979,-90.0,top
R16,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.848,-82.169,-90.0,top
R17,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-82.169,-90.0,top
R18,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-66.675,-90.0,top
R19,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-85.979,-90.0,top
R20,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.436,-85.979,90.0,top
R21,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.882,-90.678,-90.0,top
R22,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.436,-70.5885,90.0,top
R23,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.436,-74.549,90.0,top
R24,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-70.5885,-90.0,top
R25,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.848,-74.549,-90.0,top
R26,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.692,-68.961,90.0,top
R27,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.898,-68.961,-90.0,top
R28,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,58.039,-90.678,-90.0,top
R29,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.692,-86.487,90.0,top
R30,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.898,-86.487,-90.0,top
R31,330k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.342,-90.678,-90.0,top
R32,30k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.642,-78.359,90.0,top
R33,33k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.104,-76.581,90.0,top
R34,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.104,-72.771,90.0,top
R35,3.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.898,-76.581,-90.0,top
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,64.77,-60.96,0.0,top
U2,TL074,SOIC-14_3.9x8.7mm_P1.27mm,64.77,-50.165,0.0,top
U3,TL074,SOIC-14_3.9x8.7mm_P1.27mm,64.77,-83.82,0.0,top
U4,SSI2164-Split,SOIC-16_3.9x9.9mm_P1.27mm,64.77,-72.39,0.0,top
